CameraName,CameraSpecsUrl,MSRP,Body type,Max resolution,Image ratio w:h,Effective pixels,Sensor photo detectors,Sensor size,Sensor type,Processor,ISO,Boosted ISO (minimum),Boosted ISO (maximum),White balance presets,Custom white balance,Image stabilization,CIPA image stabilization rating,Uncompressed format,JPEG quality levels,Autofocus,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size,Screen dots,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Viewfinder resolution,Minimum shutter speed,Maximum shutter speed,Maximum shutter speed (electronic),Aperture priority,Shutter priority,Manual exposure mode,Built-in flash,External flash,Continuous drive,Self-timer,Metering modes,Exposure compensation,AE Bracketing,Format,Modes,Microphone,Speaker,Storage types,USB,USB charging,HDMI,Microphone port,Headphone port,Wireless,Wireless notes,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,,,
Canon EOS R3,https://www.dpreview.com/products/canon/slrs/canon_eosr3/specifications,$5999,SLR-style mirrorless,6000 x 4000,"1:1, 4:3, 3:2, 16:9",24 megapixels,27 megapixels,Full frame (36 x 24 mm),Stacked CMOS,Digic X,"Auto, 100-102400 (expands to 50-204800)",50,204800,6,Yes,Sensor-shift,8 stop(s),RAW,"Super fine, fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,1053,Canon RF,1×,Fully articulated,3.2″,4150000,Yes,TFT LCD,Yes,Electronic,100%,0.76×,5760000,30/11 sec,1/8000 sec,1/64000 sec,Yes,Yes,Yes,No,Yes (via hot shoe or flash sync port),30.0 fps,Yes,MultiCenter-weightedSpotPartial,"±3 (at 1/3 EV, 1/2 EV steps)","±3 (at 1/3 EV, 1/2 EV steps)","MPEG-4, H.264, H.265","4096 x 2160 @ 120p / 1,880 Mbps, MP4, H.264, Linear PCM4096 x 2160 @ 100p / 1,880 Mbps, MP4, H.264, Linear PCM4096 x 2160 @ 60p / 1,000 Mbps, MP4, H.264, Linear PCM4096 x 2160 @ 50p / 1,000 Mbps, MP4, H.264, Linear PCM4096 x 2160 @ 30p / 470 Mbps, MP4, H.264, Linear PCM4096 x 2160 @ 25p / 470 Mbps, MP4, H.264, Linear PCM4096 x 2160 @ 24p / 470 Mbps, MP4, H.264, Linear PCM4096 x 2160 @ 23.98p / 470 Mbps, MP4, H.264, Linear PCM3840 x 2160 @ 120p / 1,880 Mbps, MP4, H.264, Linear PCM3840 x 2160 @ 100p / 1,880 Mbps, MP4, H.264, Linear PCM3840 x 2160 @ 60p / 1,000 Mbps, MP4, H.264, Linear PCM3840 x 2160 @ 50p / 1,000 Mbps, MP4, H.264, Linear PCM3840 x 2160 @ 30p / 470 Mbps, MP4, H.264, Linear PCM3840 x 2160 @ 25p / 470 Mbps, MP4, H.264, Linear PCM3840 x 2160 @ 24p / 470 Mbps, MP4, H.264, Linear PCM3840 x 2160 @ 23.98p / 470 Mbps, MP4, H.264, Linear PCM1920 x 1080 @ 120p / 470 Mbps, MP4, H.264, Linear PCM1920 x 1080 @ 100p / 470 Mbps, MP4, H.264, Linear PCM1920 x 1080 @ 60p / 230 Mbps, MP4, H.264, Linear PCM1920 x 1080 @ 50p / 230 Mbps, MP4, H.264, Linear PCM1920 x 1080 @ 30p / 135 Mbps, MP4, H.264, Linear PCM1920 x 1080 @ 25p / 135 Mbps, MP4, H.264, Linear PCM1920 x 1080 @ 24p / 135 Mbps, MP4, H.264, Linear PCM1920 x 1080 @ 23.98p / 135 Mbps, MP4, H.264, Linear PCM",Stereo,Mono,SD/SDHC/SDXC (UHS-II supported) + CFexpress Type B,USB 3.2 Gen 2 (10 GBit/sec),Yes,Yes (Type D micro),Yes,Yes,Built-In,802.11ac + Bluetooth,Yes (via smartphone),Yes,Built-in,LP-E19 lithium-ion battery & charger,760,1015 g (2.24 lb / 35.80 oz),150 x 143 x 87 mm (5.91 x 5.63 x 3.43″),Yes,Yes,Built-in,,,
Canon EOS M50 Mark II (EOS Kiss M2),https://www.dpreview.com/products/canon/slrs/canon_eosm50ii/specifications,"$599 (body only), $699 (w/15-45mm lens), $929 (w/15-45 and 55-200mm lenses)",SLR-style mirrorless,6000 x 4000,"1:1, 4:3, 3:2, 16:9",24 megapixels,26 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 8,"Auto, 100-25600 (expands to 51200)",51200,7,Yes,No,RAW,Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,143,Canon EF-M,1.6×,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Electronic,100%,2360000,30 sec,1/4000 sec,Yes,Yes,Yes,Yes,5.00 m (at ISO 100),Yes,"Evaluative (face priority), Evaluative, Average",10.0 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),±2 (3 frames at 1/3 EV steps),"MPEG-4, H.264","3840 x 2160 @ 23.98p / 120 Mbps, MP4, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC1920 x 1080 @ 23.98p / 30 Mbps, MP4, H.264, AAC1280 x 720 @ 120p / 52 Mbps, MP4, H.264, AAC1280 x 720 @ 60p / 26 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC slot (UHS-I compatible),USB 2.0 (480 Mbit/sec),No,Yes (micro-HDMI),Yes,No,Built-In,802.11b/g/n + Bluetooth,Yes (via smartphone),No,Battery Pack,LP-E12 lithium-ion battery & charger,305,387 g (0.85 lb / 13.65 oz),116 x 88 x 59 mm (4.57 x 3.46 x 2.32″),Yes,Yes,None,,,,,,
Canon PowerShot Zoom,https://www.dpreview.com/products/canon/compacts/canon_powershot_zoom/specifications,$299,Compact,4000 x 3000,4:3,12 megapixels,"1/3"" (4.8 x 3.6 mm)",CMOS,Optical,No,100–400 mm,4×,F5.6–6.3,Yes (2x),100 cm (39.37″),No,Electronic,"MPEG-4, H.264","1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC1920 x 1080 @ 23.98p / 30 Mbps, MP4, H.264, AAC",Stereo,MicroSD,USB 2.0 (480 Mbit/sec),Built-In,No,Built-in,800 mAh rechargeable lithium-ion battery,150,145 g (0.32 lb / 5.11 oz),33 x 51 x 103 mm (1.31 x 2 x 4.06″),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS R5,https://www.dpreview.com/products/canon/slrs/canon_eosr5/specifications,"$3899 (body only), $4999 (w/24-105mm F4 lens)",SLR-style mirrorless,8192 x 5464,"1:1, 4:3, 3:2, 16:9",45 megapixels,47 megapixels,Full frame (36 x 24 mm),CMOS,Digic X,"Yes, 100-51200 (expands to 102400)",50,102400,8,Yes,Sensor-shift,Works with lens-based IS systems for maximum shake reduction,8 stop(s),RAW,"Fine, normal",Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,1053,Canon RF,1×,Fully articulated,3.2″,2100000,Yes,TFT LCD,Yes,Electronic,100%,0.76×,5760000,30 sec,1/8000 sec,1/8000 sec,Yes,Yes,Yes,No,No,Yes (via hot shoe),20.0 fps,Yes,MultiCenter-weightedSpotPartial,"±3 (at 1/3 EV, 1/2 EV steps)","±6 (2, 3, 5, 7 frames at 1/3 EV, 1/2 EV steps)",Yes,"MPEG-4, H.264, H.265","8192 x 4320 @ 30p / 1,300 Mbps, MOV, H.265, Linear PCM8192 x 4320 @ 24p / 1,300 Mbps, MOV, H.265, Linear PCM8192 x 4320 @ 23.98p / 1,300 Mbps, MOV, H.265, Linear PCM7680 x 4320 @ 30p / 1,300 Mbps, MOV, H.265, Linear PCM7680 x 4320 @ 23.98p / 1,300 Mbps, MOV, H.265, Linear PCM4096 x 2160 @ 120p / 1,880 Mbps, MOV, H.265, Linear PCM4096 x 2160 @ 60p / 940 Mbps, MOV, H.265, Linear PCM4096 x 2160 @ 30p / 470 Mbps, MOV, H.265, Linear PCM4096 x 2160 @ 24p / 470 Mbps, MOV, H.265, Linear PCM4096 x 2160 @ 23.98p / 470 Mbps, MOV, H.265, Linear PCM3840 x 2160 @ 120p / 1,880 Mbps, MOV, H.265, Linear PCM3840 x 2160 @ 60p / 940 Mbps, MOV, H.265, Linear PCM3840 x 2160 @ 30p / 470 Mbps, MOV, H.265, Linear PCM3840 x 2160 @ 24p / 470 Mbps, MOV, H.265, Linear PCM3840 x 2160 @ 23.98p / 470 Mbps, MOV, H.265, Linear PCM",Stereo,Mono,CFexpress and SD (UHS-II) slots,USB 3.2 Gen 2 (10 GBit/sec),Yes,Yes (micro HDMI),Yes,Yes,Built-In,802.11ac (dual-band) + Bluetooth,Yes,Yes,Battery Pack,LP-E6NH lithium-ion battery & charger,320,738 g (1.63 lb / 26.03 oz),138 x 98 x 88 mm (5.43 x 3.84 x 3.46″),Yes,None,
Canon EOS R6,https://www.dpreview.com/products/canon/slrs/canon_eosr6/specifications,"$2499 (body only), $2899 (w/24-105mm F4-7.1 lens), $3500 (w/24-105mm F4 lens)",SLR-style mirrorless,5472 x 3648,"1:1, 4:3, 3:2, 16:9",20 megapixels,21 megapixels,Full frame (36 x 24 mm),CMOS,Digic X,"Yes, 100-102400 (expands to 204800)",50,204800,8,Yes,Sensor-shift,Works with lens-based IS systems for maximum shake reduction,8 stop(s),RAW,"Fine, normal",Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,1053,Canon RF,1×,Fully articulated,3″,1620000,Yes,TFT LCD,Yes,Electronic,100%,0.76×,3690000,30 sec,1/8000 sec,1/8000 sec,Yes,Yes,Yes,No,No,Yes (via hot shoe),20.0 fps,Yes,MultiCenter-weightedSpotPartial,"±3 (at 1/3 EV, 1/2 EV steps)","±3 (2, 3, 5, 7 frames at 1/3 EV, 1/2 EV steps)",Yes,"MPEG-4, H.264, H.265","3840 x 2160 @ 60p / 230 Mbps, MOV, H.264, Linear PCM3840 x 2160 @ 30p / 120 Mbps, MOV, H.264, Linear PCM3840 x 2160 @ 23.98p / 120 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 120p / 120 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 60p / 60 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 30p / 30 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 23.98p / 30 Mbps, MOV, H.264, Linear PCM",Stereo,Mono,Dual SD slots (UHS-II supported),USB 3.2 Gen 2 (10 GBit/sec),Yes,Yes (micro HDMI),Yes,Yes,Built-In,802.11b/g/n + Bluetooth,Yes,Yes,Battery Pack,LP-E6NH lithium-ion battery & charger,360,680 g (1.50 lb / 23.99 oz),138 x 98 x 88 mm (5.43 x 3.84 x 3.48″),Yes,None,
Canon EOS Rebel T8i (EOS 850D / EOS Kiss X10i),https://www.dpreview.com/products/canon/slrs/canon_eos850d/specifications,"$749 (body only), $899 (w/18-55mm lens)",Compact SLR,6000 x 4000,"1:1, 4:3, 3:2, 16:9",24 megapixels,26 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 8,"Auto, 100-25600 (expands to 51200)",51200,6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,45,45,Canon EF/EF-S,1.6×,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Optical (pentamirror),95%,0.82× (0.51× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,4.00 m (with Auto ISO),Yes (via hot shoe),7.5 fps,Yes (2 or 10 secs),MultiCenter-weightedSpotPartial,"±3 (at 1/3 EV, 1/2 EV steps)","MPEG-4, H.264","3840 x 2160 @ 25p / 120 Mbps, MP4, H.264, AAC3840 x 2160 @ 23.98p / 120 Mbps, MP4, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 50p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC1920 x 1080 @ 25p / 30 Mbps, MP4, H.264, AAC1920 x 1080 @ 23.98p / 30 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-I supported),USB 2.0 (480 Mbit/sec),No,Yes (mini HDMI),Yes,No,Built-In,802.11b/g/n + Bluetooth,Yes (via wireless remote or smartphone),No,Battery Pack,LP-E17 lithium-ion battery & charger,800,515 g (1.14 lb / 18.17 oz),131 x 103 x 76 mm (5.16 x 4.06 x 2.99″),Yes,Yes,None,,,,,
Canon EOS-1D X Mark III,https://www.dpreview.com/products/canon/slrs/canon_eos1dxiii/specifications,$6499,Large SLR,5472 x 3648,"4368 x 2912, 3648 x 2432, 2736 x 1824",3:2,20 megapixels,21 megapixels,Full frame (36 x 24 mm),CMOS,Digic X,"Auto, 100-102400 (expands to 50-819200)",50,819200,7,Yes (5 slots),No,RAW,Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,191,155,Canon EF,1×,Fixed,3.2″,2100000,Yes,TFT LCD,Yes,Optical (pentaprism),100%,0.76×,30 sec,1/8000 sec,Yes,Yes,Yes,No,No,Yes,20.0 fps,Yes,MultiCenter-weightedSpotSpot AF-areaPartial,"±5 (at 1/3 EV, 1/2 EV steps)",Yes,"MPEG-4, H.264, H.265",Mono,Mono,Dual CFexpress type B,USB 3.2 Gen 2 (10 GBit/sec),Yes (HDMI mini),Yes,Yes,Built-In,"Yes (Wired, wireless, smartphone)",Yes,Built-in,LP-E19 lithium-ion battery & dual charger,2850,1440 g (3.17 lb / 50.79 oz),158 x 168 x 83 mm (6.22 x 6.61 x 3.27″),Yes,Yes,Built-in,,,,,,,
Canon EOS M200,https://www.dpreview.com/products/canon/slrs/canon_eosm200/specifications,$599 (w/15-45mm lens),Rangefinder-style mirrorless,6000 x 4000,"1:1, 4:3, 3:2, 16:9",24 megapixels,26 megapixels,APS-C (22.3 x 14.9 mm),CMOS,DIGIC 8,"Auto, 100-25600",6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,143,Canon EF-M,1.6×,Tilting,3″,1040000,Yes,TFT LCD,Yes,None,30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,5.00 m (at ISO 100),No,6.1 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpotPartial,±3 (at 1/3 EV steps),"MPEG-4, H.264","3840 x 2160 @ 23.98p / 120 Mbps, MP4, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-I compatible),USB 2.0 (480 Mbit/sec),Yes,Yes (micro HDMI),No,No,Built-In,802.11b/g/n + Bluetooth 4.2,Yes (via smartphone),No,Battery Pack,LP-E12 lithium-ion battery & charger,315,299 g (0.66 lb / 10.55 oz),108 x 67 x 35 mm (4.25 x 2.64 x 1.38″),Yes,None,,,,,,,,,,
Canon EOS 90D,https://www.dpreview.com/products/canon/slrs/canon_eos90d/specifications,"$1199 (body only), $1349 (w/18-55mm lens), $1599 (w/18-135mm lens)",Mid-size SLR,6960 x 4640,"1:1, 4:3, 3:2, 16:9",33 megapixels,34 megapixels,APS-C (22.3 x 14.9 mm),CMOS,DIGIC 8,"Auto, 100-25600 (expands to 51200)",51200,6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,45,45,Canon EF/EF-S,1.6×,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Optical (pentaprism),100%,0.95× (0.59× 35mm equiv.),30 sec,1/8000 sec,1/16000 sec,Yes,Yes,Yes,No,Yes,12.00 m (at ISO 100),Yes (via hot shoe),11.0 fps,Yes (2 or 10 secs),MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV steps)",Yes,"MPEG-4, H.264","3840 x 2160 @ 30p / 120 Mbps, MP4, H.264, AAC1920 x 1080 @ 120p / 120 Mbps, MP4, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-II supported),USB 2.0 (480 Mbit/sec),Yes,Yes,Yes,Built-In,802.11b/g/n with Bluetooth,"Yes (Wired , wireless or smartphone)",Yes,Battery Pack,LP-E6N lithium-ion battery & charger,1300,701 g (1.55 lb / 24.73 oz),141 x 105 x 77 mm (5.55 x 4.13 x 3.03″),Yes,Yes,None,,,
Canon EOS M6 Mark II,https://www.dpreview.com/products/canon/slrs/canon_eosm6ii/specifications,"$849 (body only), $1099 (w/15-45mm lens + EVF), $1349 (w/18-150mm lens + EVF",Rangefinder-style mirrorless,6960 x 4640,"1:1, 4:3, 3:2, 16:9",33 megapixels,34 megapixels,APS-C (22.3 x 14.9 mm),CMOS,DIGIC 8,"Auto, 100-25600 (expands to 51200)",51200,6,Yes,No,RAW,"Fine, normal",Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,143,Canon EF-M,1.6×,Tilting,3″,1040000,Yes,TFT LCD,Yes,Electronic (optional),100%,2360000,30 sec,1/4000 sec,1/16000 sec,Yes,Yes,Yes,Yes,Yes,4.60 m (at ISO 100),Yes (via hot shoe),14.0 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,"±3 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV steps)",Yes,"MPEG-4, H.264","3840 x 2160 @ 30p / 120 Mbps, MP4, H.264, AAC1920 x 1080 @ 120p / 120 Mbps, MP4, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-II supported),USB 2.0 (480 Mbit/sec),Yes (with USB-PD compatible chargers),Yes (Micro HDMI),Yes,No,Built-In,802.11b/g/n + Bluetooth,Yes (wireless or smartphone),No,Battery Pack,LP-E17 lithium-ion battery & charger,305,408 g (0.90 lb / 14.39 oz),120 x 70 x 49 mm (4.72 x 2.76 x 1.93″),Yes,Yes,None,,,
